n,n_clusters,k,dim,avg_score
1000,4,2,2,0.7179823419471202
1000,4,3,2,0.7520475362326442
1000,4,4,2,0.7338577320881409
1000,4,5,2,0.6409593401452975
1000,4,6,2,0.5669613065748718
1000,4,7,2,0.4481239345729813
1000,4,8,2,0.33275369136321226
1000,4,9,2,0.34261109777210036
1000,4,10,2,0.3373831404485802
1000,4,2,2,0.5975307097335422
1000,4,3,2,0.7820646464904049
1000,4,4,2,0.5892721540677
1000,4,5,2,0.5681641024847707
1000,4,6,2,0.46188149492977065
1000,4,7,2,0.34390401618419325
1000,4,8,2,0.3458391690784111
1000,4,9,2,0.35121071930463327
1000,4,10,2,0.35222662979573516
1000,4,2,2,0.642596630863827
1000,4,3,2,0.6762485490477163
1000,4,4,2,0.703314077986234
1000,4,5,2,0.5782760459717864
1000,4,6,2,0.47976108214995544
1000,4,7,2,0.39512201087386567
1000,4,8,2,0.3165771448649929
1000,4,9,2,0.3224002026692765
1000,4,10,2,0.3331257462687166
1000,4,2,2,0.7035918233192672
1000,4,3,2,0.7636972943180833
1000,4,4,2,0.6837959862052119
1000,4,5,2,0.6037490141733372
1000,4,6,2,0.48498823463027146
1000,4,7,2,0.3709599000067348
1000,4,8,2,0.3234488202459041
1000,4,9,2,0.326014621998105
1000,4,10,2,0.3273694769970432
1000,4,2,2,0.609088612996107
1000,4,3,2,0.7053738876551848
1000,4,4,2,0.8195524435369322
1000,4,5,2,0.6950978818347366
1000,4,6,2,0.5624298770809817
1000,4,7,2,0.4397283279388437
1000,4,8,2,0.312824193851666
1000,4,9,2,0.3221439539981418
1000,4,10,2,0.3281676186591969
1000,4,2,2,0.6565026133153938
1000,4,3,2,0.7520666260685309
1000,4,4,2,0.7017259503359243
1000,4,5,2,0.6246961076535208
1000,4,6,2,0.5574965490044973
1000,4,7,2,0.4390068453139028
1000,4,8,2,0.3308403026418318
1000,4,9,2,0.33068993300852745
1000,4,10,2,0.3328397986454994
1000,4,2,2,0.582256837864418
1000,4,3,2,0.6459697998914247
1000,4,4,2,0.7452129260041382
1000,4,5,2,0.6408744434878669
1000,4,6,2,0.5244102479136902
1000,4,7,2,0.41583854816458937
1000,4,8,2,0.3201271377353649
1000,4,9,2,0.3242795481937413
1000,4,10,2,0.33741656946097065
1000,4,2,2,0.6347071326730841
1000,4,3,2,0.7157366806797213
1000,4,4,2,0.7313021385132875
1000,4,5,2,0.6375232457023048
1000,4,6,2,0.5678480693565738
1000,4,7,2,0.4677259615414484
1000,4,8,2,0.3369341730540257
1000,4,9,2,0.3371193794893888
1000,4,10,2,0.344391095069435
1000,4,2,2,0.5452808145391158
1000,4,3,2,0.6161228812387863
1000,4,4,2,0.7436002577426106
1000,4,5,2,0.6424450563439368
1000,4,6,2,0.5411634485603165
1000,4,7,2,0.42281999626321143
1000,4,8,2,0.32124761570437593
1000,4,9,2,0.3310526960142959
1000,4,10,2,0.3307289816763203
1000,4,2,2,0.6822467442030758
1000,4,3,2,0.7110606494418353
1000,4,4,2,0.6184315753410082
1000,4,5,2,0.5625278757795608
1000,4,6,2,0.43032222762569483
1000,4,7,2,0.3381700671249889
1000,4,8,2,0.31367918592904037
1000,4,9,2,0.3245370528464468
1000,4,10,2,0.3288820157140463
1000,4,2,2,0.7041757691851567
1000,4,3,2,0.5982480025157388
1000,4,4,2,0.6935720624624636
1000,4,5,2,0.6107717210622816
1000,4,6,2,0.5241338205096802
1000,4,7,2,0.4473557298701692
1000,4,8,2,0.3280208236869885
1000,4,9,2,0.33645974045661065
1000,4,10,2,0.33741644882222815
1000,4,2,2,0.6317532836905632
1000,4,3,2,0.6889187425492669
1000,4,4,2,0.6587744867416356
1000,4,5,2,0.5756975284588857
1000,4,6,2,0.47610007030257395
1000,4,7,2,0.38106700797326576
1000,4,8,2,0.3287488496864461
1000,4,9,2,0.3311658871515701
1000,4,10,2,0.33946360374841084
1000,4,2,2,0.7726801045243421
1000,4,3,2,0.6627905071022582
1000,4,4,2,0.5197558040443675
1000,4,5,2,0.5119712483472878
1000,4,6,2,0.36443556540215816
1000,4,7,2,0.3248705394146409
1000,4,8,2,0.3211565044482694
1000,4,9,2,0.3296768769637163
1000,4,10,2,0.3275694524050264
1000,4,2,2,0.6507663414563842
1000,4,3,2,0.6273541177883548
1000,4,4,2,0.7806806722926869
1000,4,5,2,0.655273198529138
1000,4,6,2,0.553423420068445
1000,4,7,2,0.4329809154526797
1000,4,8,2,0.3241582533434955
1000,4,9,2,0.3346098355228912
1000,4,10,2,0.3348507236941409
1000,4,2,2,0.5860378985454257
1000,4,3,2,0.5373940656188487
1000,4,4,2,0.5424084702864652
1000,4,5,2,0.48349081036366054
1000,4,6,2,0.39252045620256343
1000,4,7,2,0.34211091677904903
1000,4,8,2,0.3336340730229111
1000,4,9,2,0.3258711143502558
1000,4,10,2,0.3334663278930902
1000,4,2,2,0.6912203125748938
1000,4,3,2,0.5707418422635776
1000,4,4,2,0.6612863671741123
1000,4,5,2,0.5844976566105923
1000,4,6,2,0.4624966663480478
