n,n_clusters,k,dim,avg_score
1000,2,2,2,0.8320256638760145
1000,2,3,2,0.5797780308152967
1000,2,4,2,0.32826244240946756
1000,2,5,2,0.3418123881950255
1000,2,6,2,0.34803811957670755
1000,2,7,2,0.33429725879460814
1000,2,8,2,0.3269723685860239
1000,2,9,2,0.3201593834018467
1000,2,10,2,0.32266013144853894
1000,2,2,2,0.8450415311303177
1000,2,3,2,0.5851889042575645
1000,2,4,2,0.3291160526168171
1000,2,5,2,0.33998202031450664
1000,2,6,2,0.343808675795579
1000,2,7,2,0.33704258528356446
1000,2,8,2,0.32298987071910246
1000,2,9,2,0.3282213971448338
1000,2,10,2,0.33582935572507133
1000,2,2,2,0.6234867831161176
1000,2,3,2,0.44337252698367957
1000,2,4,2,0.32879092758660206
1000,2,5,2,0.34413538437099306
1000,2,6,2,0.3438180549737483
1000,2,7,2,0.34532676517186794
1000,2,8,2,0.33713931406705416
1000,2,9,2,0.33373292593646936
1000,2,10,2,0.33809708668754057
1000,2,2,2,0.8637912798849372
1000,2,3,2,0.5918238413088972
1000,2,4,2,0.32395012254457095
1000,2,5,2,0.32579658956566243
1000,2,6,2,0.3288957088639693
1000,2,7,2,0.3360972908009964
1000,2,8,2,0.32702009498272255
1000,2,9,2,0.33300412670741353
1000,2,10,2,0.3288925667797521
1000,2,2,2,0.8319719592636909
1000,2,3,2,0.5793019641726214
1000,2,4,2,0.32744036629602286
1000,2,5,2,0.33703413530454907
1000,2,6,2,0.3441394298555301
1000,2,7,2,0.338865388872481
1000,2,8,2,0.32396077291844155
1000,2,9,2,0.3270243657130446
1000,2,10,2,0.3373726938833996
1000,2,2,2,0.6527061451805585
1000,2,3,2,0.4477122784450884
1000,2,4,2,0.32051914287345673
1000,2,5,2,0.334381301952295
1000,2,6,2,0.3360855290397632
1000,2,7,2,0.33065447507384077
1000,2,8,2,0.31881613848127005
1000,2,9,2,0.32499847458611614
1000,2,10,2,0.3161511270709342
1000,2,2,2,0.8757238887053155
1000,2,3,2,0.596082877193688
1000,2,4,2,0.3149669263812385
1000,2,5,2,0.32612813034436533
1000,2,6,2,0.3306621764983527
